timestamp_utc,level,category,class_method,event,args,ret,details,raw
2025-10-13T08:24:53.056403Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056407Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056412Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056415Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056418Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056423Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056428Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056431Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056434Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056438Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056443Z,+,,FileOutputStream.<init>,info,,,"args: [""<java.io.File>""] java.lang.Exception: stack
	at java.io.FileOutputStream.<init>(Native Method)
	at org.telegram.messenger.video.MP4Builder.createMovie(Unknown Source:8)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.prepareEncoder(Unknown Source:454)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.access$4000(Unknown Source:0)
	at org.telegram.messenger.camera.CameraView$EncoderHandler.handleMessage(Unknown Source:84)
	at android.os.Handler.dispatchMessage(Handler.java:106)
	at android.os.Looper.loopOnce(Looper.java:201)
	at android.os.Looper.loop(Looper.java:288)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.run(Unknown Source:22)
	at java.lang.Thread.run(Thread.java:1012)","[+] FileOutputStream.<init> args: [""<java.io.File>""] java.lang.Exception: stack
	at java.io.FileOutputStream.<init>(Native Method)
	at org.telegram.messenger.video.MP4Builder.createMovie(Unknown Source:8)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.prepareEncoder(Unknown Source:454)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.access$4000(Unknown Source:0)
	at org.telegram.messenger.camera.CameraView$EncoderHandler.handleMessage(Unknown Source:84)
	at android.os.Handler.dispatchMessage(Handler.java:106)
	at android.os.Looper.loopOnce(Looper.java:201)
	at android.os.Looper.loop(Looper.java:288)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.run(Unknown Source:22)
	at java.lang.Thread.run(Thread.java:1012)
"
2025-10-13T08:24:53.056453Z,+,,FileOutputStream.<init>,info,,,"args: [""<java.io.File>"",false] java.lang.Exception: stack
	at java.io.FileOutputStream.<init>(Native Method)
	at java.io.FileOutputStream.<init>(FileOutputStream.java:186)
	at java.io.FileOutputStream.<init>(Native Method)
	at org.telegram.messenger.video.MP4Builder.createMovie(Unknown Source:8)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.prepareEncoder(Unknown Source:454)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.access$4000(Unknown Source:0)
	at org.telegram.messenger.camera.CameraView$EncoderHandler.handleMessage(Unknown Source:84)
	at android.os.Handler.dispatchMessage(Handler.java:106)
	at android.os.Looper.loopOnce(Looper.java:201)
	at android.os.Looper.loop(Looper.java:288)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.run(Unknown Source:22)
	at java.lang.Thread.run(Thread.java:1012)","[+] FileOutputStream.<init> args: [""<java.io.File>"",false] java.lang.Exception: stack
	at java.io.FileOutputStream.<init>(Native Method)
	at java.io.FileOutputStream.<init>(FileOutputStream.java:186)
	at java.io.FileOutputStream.<init>(Native Method)
	at org.telegram.messenger.video.MP4Builder.createMovie(Unknown Source:8)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.prepareEncoder(Unknown Source:454)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.access$4000(Unknown Source:0)
	at org.telegram.messenger.camera.CameraView$EncoderHandler.handleMessage(Unknown Source:84)
	at android.os.Handler.dispatchMessage(Handler.java:106)
	at android.os.Looper.loopOnce(Looper.java:201)
	at android.os.Looper.loop(Looper.java:288)
	at org.telegram.messenger.camera.CameraView$VideoRecorder.run(Unknown Source:22)
	at java.lang.Thread.run(Thread.java:1012)
"
2025-10-13T08:24:53.056463Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056466Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056469Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056474Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056478Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056481Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
2025-10-13T08:24:53.056484Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048]"
2025-10-13T08:24:53.056489Z,+,call,android.media.AudioRecord.read,enter,"[""<java.nio.DirectByteBuffer>"", 2048, 0]",,,"[+] android.media.AudioRecord.read called with: [""<java.nio.DirectByteBuffer>"",2048,0]"
2025-10-13T08:24:53.056493Z,+,ret,android.media.AudioRecord.read,return,,2048,,[+] android.media.AudioRecord.read => 2048
